数据类别,数据源名称,计费方式,价格区间,核心功能,覆盖范围,接入方式,推荐方案,优先级,备注
工商/股权/风控,天眼查 API,按量/套餐,¥0.1-1.0/次,"工商信息、股权穿透、法律诉讼、被执行人、经营异常、行政处罚",全国企业（含非上市）,REST API,方案B/C核心,P0,接口最全，适合自动化尽调，查非上市公司必用
工商/股权/风控,企查查 API,按量/套餐,¥0.15-1.0/次,"工商信息、股权结构、风险扫描、知识产权",全国企业（含非上市）,REST API,方案B/C核心,P1,数据更新快，天眼查的完美平替
工商/股权/风控,启信宝 API,按量/套餐,¥0.1-0.8/次,"企业图谱、关联关系、股权穿透",全国企业,REST API,方案B辅助,P2,企业关系图谱能力强
工商/股权/风控,国家企业信用信息公示系统,免费,免费,工商注册信息、年报、行政处罚,全国企业,无API/网页,方案A备用,P3,官方权威，需手动查询，防爬虫极严
工商/股权/风控,天眼查网页版,免费/会员,¥299/年基础版,基础工商信息查询,全国企业,网页/APP,方案A,P3,适合偶尔查询，不适合批量
二级市场财务/行情,Tushare,积分/年费,基础免费/高级¥500/年,"财务报表（三表）、估值指标、行情数据、行业对比",A股/港股/美股（部分）,Python SDK,方案A/B核心,P0,性价比之王，Python接口友好，仅限上市公司
二级市场财务/行情,AKShare,免费,免费,"股票数据、基金数据、期货数据、宏观经济",A股/港股/美股,Python SDK,方案A备用,P1,Tushare的免费替代，数据全面但稳定性略差
二级市场财务/行情,巨潮资讯网,免费,免费,上市公司公告（PDF）、定期报告,A股,无API/爬虫,方案A备用,P2,官方指定信披网站，可写爬虫抓取PDF公告
二级市场财务/行情,东方财富 Choice,终端年费,¥3000-5000/年,财务数据、研报、行情, A股/港股/美股,终端+API,方案B辅助,P2,个人投资者友好，数据较全
二级市场财务/行情,Wind (万得),终端年费,¥30000-80000/年,"全品种金融数据、研报、宏观、行业、专题",全球金融数据,终端+API,方案C核心,P0,机构标配，数据最权威全面，极其昂贵
二级市场财务/行情,同花顺 iFinD,终端年费,¥8000-15000/年,"股票、基金、债券、研报、宏观",A股/港股/美股,终端+API,方案C备用,P1,Wind平替，性价比高，提供API接口
二级市场财务/行情,财新数据,账号年费,¥10000+/年,宏观经济、行业研究、政策解读,中国为主,网页+API,方案C辅助,P2,政策解读和行业研究深度好
二级市场财务/行情,且慢MCP (盈米),免费,免费,"基金数据、资产配置、投研分析、组合回测、蒙特卡洛模拟",公募基金为主,MCP协议,方案A/B/C核心,P0,国内首个财富管理MCP，免费调用，基金投顾必备
一级市场投融资,IT桔子,账号年费,¥5000-10000/年,"创投事件、融资历史、投资机构、独角兽",国内一级市场,网页+API,方案B辅助,P1,国内一级市场创投数据最全，适合查早期项目
一级市场投融资,清科私募通,账号年费,需单独洽谈,"PE/VC基金、LP/GP、基金存续期、IRR",国内私募股权,网页+API,方案C辅助,P1,适合查PE/VC机构的底层资产和基金存续期
一级市场投融资,投中网,免费/会员,免费,投融资新闻、行业分析,国内创投,网页,方案A备用,P3,资讯类，数据不够结构化
一级市场投融资,Crunchbase,免费/会员,$29-49/月,全球创投数据、融资事件,全球,网页+API,方案C辅助,P2,海外项目必查，国内项目覆盖不全
法律诉讼/风险,裁判文书网,免费,免费,法院判决文书,全国法院,无API/爬虫,方案A备用,P2,官方权威，需爬虫或手动查询
法律诉讼/风险,执行信息公开网,免费,免费,被执行人、失信被执行人,全国法院,无API/网页,方案A备用,P2,法院官方，查询被执行人必用
法律诉讼/风险,北大法宝,账号年费,¥5000-20000/年,法律法规、案例、合同范本,全国,网页+API,方案C辅助,P2,法律条文和判例查询权威
行业研究,艾瑞咨询,免费/付费,免费报告+付费定制,互联网、TMT行业研究,中国,网页,方案A/B辅助,P2,互联网行业报告质量高
行业研究,易观分析,免费/付费,免费报告+付费定制,互联网、金融科技,中国,网页,方案A/B辅助,P2,金融科技行业深度好
行业研究,麦肯锡/BCG/贝恩,免费,免费,全球行业研究、管理咨询报告,全球,网页,方案C辅助,P3,国际顶级咨询报告，宏观视角
行业研究,券商研报,付费,Wind/慧博订阅,个股研报、行业研报、策略,A股/港股,研报平台,方案B/C核心,P1,投研分析必看，需通过Wind或慧博获取
知识产权,国家知识产权局,免费,免费,专利查询、商标查询,全国,网页,方案A备用,P2,官方权威，需手动查询
知识产权,智慧芽,账号年费,¥10000+/年,专利检索、分析、预警,全球,网页+API,方案C辅助,P2,专利分析工具强大，适合深度尽调
新闻舆情,百度新闻搜索,免费,免费,新闻资讯聚合,全网,无API/搜索,方案A备用,P3,实时新闻，需人工筛选
新闻舆情,搜狗微信搜索,免费,免费,微信公众号文章,微信生态,无API/搜索,方案A备用,P3,微信生态资讯，适合查企业公众号
新闻舆情,财新/第一财经/界面,付费,会员¥200-500/年,财经新闻报道,中国,网页+APP,方案A/B辅助,P2,财经新闻质量高，适合舆情监控
企业图谱/关联关系,天眼查企业图谱,按量,¥1-5/次,股权穿透图、关联关系图,全国企业,API,方案B/C核心,P1,关联关系可视化，识别隐性关联方
企业图谱/关联关系,启信宝关系图谱,按量,¥1-5/次,企业关联关系、实际控制人,全国企业,API,方案B辅助,P2,关联关系挖掘能力强
