数据类别,数据源名称,计费方式,核心功能,覆盖范围,接入方式,优先级,使用建议
工商/股权/风控,国家企业信用信息公示系统,免费,工商注册信息、年报、行政处罚,全国企业,无API/网页,P3,官方权威，需手动查询
工商/股权/风控,天眼查网页版,免费/会员,基础工商信息查询,全国企业,网页/APP,P3,适合偶尔查询，不适合批量
二级市场财务/行情,Tushare,基础免费,财务报表、估值指标、行情数据,A股/港股/美股（部分）,Python SDK,P0,性价比之王，新用户送200积分
二级市场财务/行情,AKShare,免费,股票数据、基金数据、期货数据、宏观经济,A股/港股/美股,Python SDK,P1,Tushare的免费替代
二级市场财务/行情,巨潮资讯网,免费,上市公司公告（PDF）、定期报告,A股,无API/爬虫,P2,官方指定信披网站
二级市场财务/行情,且慢MCP (盈米),免费,基金数据、资产配置、投研分析、组合回测,公募基金为主,MCP协议,P0,国内首个财富管理MCP，免费调用
一级市场投融资,投中网,免费/会员,投融资新闻、行业分析,国内创投,网页,P3,资讯类，数据不够结构化
法律诉讼/风险,裁判文书网,免费,法院判决文书,全国法院,无API/爬虫,P2,官方权威，需爬虫或手动查询
法律诉讼/风险,执行信息公开网,免费,被执行人、失信被执行人,全国法院,无API/网页,P2,法院官方，查询被执行人必用
行业研究,艾瑞咨询,免费/付费,互联网、TMT行业研究报告,中国,网页,P2,互联网行业报告质量高
行业研究,易观分析,免费/付费,互联网、金融科技研究报告,中国,网页,P2,金融科技行业深度好
行业研究,麦肯锡/BCG/贝恩,免费,全球行业研究、管理咨询报告,全球,网页,P3,国际顶级咨询报告，宏观视角
知识产权,国家知识产权局,免费,专利查询、商标查询,全国,网页,P2,官方权威，需手动查询
新闻舆情,百度新闻搜索,免费,新闻资讯聚合,全网,无API/搜索,P3,实时新闻，需人工筛选
新闻舆情,搜狗微信搜索,免费,微信公众号文章,微信生态,无API/搜索,P3,微信生态资讯，适合查企业公众号
